,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8
2,0.059937,0.072982,0.080258,0.088759,0.239126,4.86426,52.1989,163.603,813.716
4,0.109839,0.056295,0.101927,0.060094,0.089504,0.900901,7.90486,23.8007,121.414
8,0.04835,0.042054,0.045602,0.042434,0.0523,0.232873,1.52478,6.81521,22.6862
12,0.049357,0.04427,0.090995,0.092012,0.051656,0.250554,1.64552,6.35745,27.0811
16,0.049856,0.090798,0.046943,0.043196,0.132602,0.203276,1.29947,4.12395,19.6065
24,0.051737,0.044497,0.045164,0.040444,0.048064,0.220306,1.32498,3.92955,20.1489
32,0.048427,0.044068,0.064872,0.04874,0.052068,0.199334,1.24636,3.55361,18.3834
