,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8
2,0.152841,0.121445,0.100224,0.201007,0.133892,0.18933,0.398948,0.724678,3.97342
4,0.199539,0.121639,0.203028,0.130663,0.136453,0.236228,0.388899,0.723614,3.97378
8,0.115759,0.094024,0.095776,0.102871,0.099792,0.184729,0.374474,0.733565,4.01729
12,0.111176,0.098242,0.19546,0.188812,0.102984,0.189625,0.40176,0.740305,4.0906
16,0.116621,0.198381,0.10473,0.097422,0.173527,0.187329,0.397935,0.738987,4.00439
24,0.119975,0.102528,0.094011,0.092736,0.096609,0.182549,0.373251,0.733055,4.02037
32,0.115081,0.099305,0.138129,0.104631,0.100314,0.194803,0.39304,0.735244,4.01543
