,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8,testcase_9
512,0.079329,0.092104,0.089778,0.067832,0.067727,0.113374,0.051875,0.054633,0.060093,0.071447
1024,0.081846,0.099399,0.099452,0.069342,0.123539,0.068949,0.059065,0.064596,0.065193,0.080933
