,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8,testcase_9
512,0.172555,0.240581,0.207134,0.135254,0.139347,0.125575,0.131448,0.121845,0.123383,0.191593
1024,0.797845,0.218963,0.21611,0.140921,0.32711,0.200643,0.134361,0.128536,0.163523,0.20681
