,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7
256,0.646429,0.028891,0.028808,0.064373,0.033474,0.373463,0.508715,0.642942
512,0.0666,0.049216,0.038761,0.032653,0.031809,0.368715,0.495535,0.628214
1024,0.041585,0.040987,0.036898,0.032454,0.031896,0.372253,0.505721,0.630526
