,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7
256,0.681389,5.09705,2.86542,7.06933,0.659477,1983.91,2902.25,4150.29
512,0.963682,9.42581,3.77294,3.30562,0.511611,1843.79,2946.13,4292.36
1024,0.663061,7.41069,3.55907,3.2868,0.509823,1830.75,3012.8,4330.04
