,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7
256,0.037896,0.038054,0.036994,0.085338,0.039197,0.339798,0.680096,1.23182
512,0.080759,0.056437,0.046833,0.042552,0.040064,0.189743,0.371661,0.642952
1024,0.048028,0.049978,0.043399,0.04111,0.043854,0.114001,0.217546,0.350943
