,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7
256,0.084175,0.079975,0.084895,0.182159,0.09608,0.092419,0.221877,0.275328
512,0.20323,0.13584,0.107574,0.092654,0.089885,0.087915,0.219697,0.281236
1024,0.119362,0.125412,0.103498,0.095044,0.094819,0.087562,0.223573,0.277781
